lottery_type,period_id,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
kl8,2024052,5,8,9,17,27,29,42,43,52,53,56,57,60,61,62,64,68,69,77,80
kl8,2024053,2,4,5,10,21,23,25,31,33,35,37,46,53,62,63,69,75,78,79,80
kl8,2024054,4,5,9,10,12,17,19,21,22,30,32,33,35,37,50,54,57,69,75,78
kl8,2024055,4,8,9,11,22,23,26,29,47,48,49,52,62,64,65,68,70,71,72,79
kl8,2024056,1,6,8,10,18,21,22,24,35,40,41,47,51,55,66,70,74,75,77,78
kl8,2024057,7,10,16,17,20,21,25,30,36,37,39,42,45,47,63,66,67,71,74,76
kl8,2024058,5,9,13,16,18,19,20,22,35,38,43,47,52,54,55,56,63,72,73,74
kl8,2024059,1,7,11,14,18,19,20,38,39,41,44,50,51,59,60,62,67,69,73,75
kl8,2024060,3,4,8,9,12,14,17,19,20,32,35,39,40,46,53,56,57,61,67,73
kl8,2024061,8,10,18,33,34,36,41,42,44,46,47,51,53,54,61,62,64,65,69,72
kl8,2024062,2,5,7,8,9,12,17,18,26,32,39,43,46,49,53,57,61,70,77,79
kl8,2024063,2,5,6,7,11,12,14,17,24,30,36,38,51,56,60,61,67,71,73,78
kl8,2024064,2,10,23,24,27,28,29,32,33,35,36,38,52,54,67,70,72,73,74,80
kl8,2024065,11,12,14,19,21,30,32,36,39,41,42,43,48,53,63,65,69,70,75,80
kl8,2024066,7,10,18,21,23,26,34,35,36,37,42,44,45,47,50,53,68,70,73,80
kl8,2024067,9,10,11,18,20,22,25,30,41,46,50,54,56,63,67,68,71,74,78,80
kl8,2024068,2,3,5,7,10,35,38,39,43,50,52,53,56,57,58,68,70,73,77,78
kl8,2024069,4,7,12,22,25,32,37,39,43,47,49,52,58,62,63,67,70,73,76,80
kl8,2024070,7,9,10,12,13,16,18,24,25,32,38,39,61,62,63,64,72,73,77,79
kl8,2024071,7,8,9,11,15,16,17,19,23,33,38,42,54,57,58,65,66,72,79,80
kl8,2024072,1,12,13,22,27,30,33,35,36,50,58,61,63,66,67,68,69,70,73,80
kl8,2024073,3,12,16,18,22,24,28,36,38,39,47,50,52,53,54,63,65,67,70,77
kl8,2024074,14,17,18,21,27,29,30,31,34,39,44,45,49,51,53,57,58,69,78,80
kl8,2024075,1,9,12,17,20,23,28,30,36,40,46,51,54,56,60,61,63,68,69,80
kl8,2024076,4,9,10,11,16,21,22,28,29,35,38,39,43,44,45,69,70,73,74,75
kl8,2024077,7,8,14,15,28,29,33,43,44,49,51,52,54,55,58,60,68,71,74,77
kl8,2024078,1,3,6,10,19,21,28,29,34,39,46,48,49,50,57,60,63,65,69,74
kl8,2024079,8,13,18,21,22,23,25,29,31,33,36,44,45,48,51,57,64,65,68,80
kl8,2024080,9,10,11,21,27,29,37,43,44,51,56,57,61,63,64,65,66,73,76,77
kl8,2024081,4,10,11,12,19,22,25,31,34,46,49,57,60,62,66,68,69,73,74,76
kl8,2024082,5,6,15,19,21,25,33,44,50,54,55,56,57,58,59,62,69,72,75,77
kl8,2024083,1,3,4,11,12,13,16,17,25,34,45,46,47,50,55,63,71,72,73,77
kl8,2024084,3,21,23,25,34,36,37,43,44,52,54,56,59,60,66,67,73,76,77,78
kl8,2024085,2,6,7,10,12,14,23,32,40,43,52,53,55,58,59,70,72,74,77,78
kl8,2024086,9,10,12,19,21,24,26,31,35,37,41,50,51,52,56,60,63,64,71,78
kl8,2024087,2,7,14,22,27,29,31,33,35,40,41,42,53,60,67,70,73,74,79,80
kl8,2024088,5,10,16,20,24,26,27,37,39,50,51,52,56,59,60,62,66,72,75,76
kl8,2024089,2,10,12,15,16,28,32,33,37,38,42,48,51,57,59,63,64,71,73,78
kl8,2024090,6,8,9,11,14,22,26,28,31,38,47,49,53,54,56,57,58,60,65,80
kl8,2024091,10,13,15,17,20,22,23,24,27,37,39,42,50,53,55,57,63,65,76,77
kl8,2024092,9,22,23,29,32,35,39,40,42,43,45,49,54,56,59,62,66,72,77,79
kl8,2024093,1,8,10,12,14,15,21,27,29,34,38,40,43,52,60,61,64,67,74,79
kl8,2024094,3,6,7,17,19,20,21,27,30,37,42,43,51,54,55,63,65,70,72,74
kl8,2024095,1,16,22,24,27,28,30,34,37,38,39,43,45,52,54,58,59,60,69,73
kl8,2024096,2,5,15,17,22,24,28,30,32,43,56,59,61,63,65,69,74,78,79,80
kl8,2024097,6,7,10,13,20,22,27,28,29,34,39,44,46,53,55,62,65,68,74,76
kl8,2024098,1,3,5,6,7,23,25,26,31,33,36,39,40,44,51,60,63,64,67,69
kl8,2024099,2,12,16,20,23,31,33,34,35,39,42,45,52,53,54,58,60,66,78,79
kl8,2024100,3,4,11,16,18,22,27,31,33,34,41,44,50,52,58,61,62,71,78,79
kl8,2024101,1,3,16,19,20,27,32,37,42,49,54,55,57,64,69,73,76,77,78,80
kl8,2024102,2,11,16,17,21,22,23,26,33,34,44,49,50,58,59,63,64,68,77,78
kl8,2024103,10,11,17,19,25,26,35,37,38,40,45,61,63,71,73,74,75,76,77,80
kl8,2024104,1,2,9,11,12,14,16,20,22,23,26,30,37,45,48,52,58,59,61,65
kl8,2024105,3,11,19,23,25,26,27,31,41,45,46,50,54,57,59,62,65,66,74,75
kl8,2024106,8,9,10,13,14,15,16,17,18,21,35,38,45,50,52,58,64,71,72,75
kl8,2024107,6,8,14,23,27,28,29,30,38,39,40,43,47,48,62,66,69,70,75,79
kl8,2024108,1,3,7,9,11,23,31,33,38,40,42,46,48,51,53,60,71,76,79,80
kl8,2024109,7,14,15,16,19,26,28,29,37,39,41,47,56,57,62,68,70,72,75,80
kl8,2024110,1,2,5,8,10,13,20,32,36,44,49,51,56,57,61,62,70,72,78,79
kl8,2024111,4,7,8,12,15,18,26,28,31,35,36,37,40,50,58,61,64,67,71,78
kl8,2024112,7,11,15,19,21,29,35,37,42,45,46,50,54,55,57,68,69,70,76,78
kl8,2024113,3,5,9,10,13,23,27,36,38,44,48,49,50,51,56,59,64,67,69,76
kl8,2024114,1,5,7,10,15,16,19,24,26,34,49,53,59,60,61,66,68,69,71,78
kl8,2024115,2,4,8,20,22,25,28,33,35,43,45,53,54,57,63,64,65,69,70,78
kl8,2024116,10,18,22,30,32,34,35,40,41,42,51,60,63,64,70,71,73,74,77,80
kl8,2024117,5,6,10,13,16,22,24,29,33,39,40,44,45,50,56,58,60,61,69,77
kl8,2024118,1,9,14,16,26,34,36,43,45,47,53,55,60,62,67,68,74,75,76,80
kl8,2024119,6,8,9,12,24,27,37,41,44,46,50,53,54,62,63,73,75,77,78,79
kl8,2024120,3,10,13,18,21,22,32,33,34,41,43,46,52,53,54,57,59,65,69,77
kl8,2024121,5,7,14,15,16,19,26,27,31,35,39,40,41,48,49,51,55,63,68,80
kl8,2024122,2,3,7,9,10,12,18,27,37,39,45,46,48,52,54,64,67,70,74,78
kl8,2024123,2,7,12,13,14,23,37,38,41,44,45,46,48,49,58,60,63,71,72,73
kl8,2024124,5,6,9,11,12,15,20,21,25,27,30,40,45,48,49,53,56,72,74,76
kl8,2024125,5,7,8,9,11,13,16,22,26,27,29,34,37,43,44,46,50,52,61,62
kl8,2024126,7,12,13,14,15,27,30,33,35,38,40,44,49,56,57,58,67,68,69,71
kl8,2024127,7,10,21,22,24,30,33,35,37,39,40,46,47,48,50,53,60,61,63,74
kl8,2024128,1,9,10,14,19,28,30,31,36,37,46,49,50,53,57,60,64,67,72,75
kl8,2024129,9,14,24,32,35,36,37,39,40,43,44,48,49,55,56,59,62,69,71,80
kl8,2024130,1,3,4,8,10,15,18,20,25,30,33,36,43,45,49,51,52,56,66,70
kl8,2024131,2,6,7,10,11,17,33,40,41,46,55,57,58,60,66,67,69,71,72,77
kl8,2024132,11,12,13,19,20,22,30,32,34,36,41,42,43,55,58,61,63,65,72,74
kl8,2024133,1,5,17,20,21,31,36,38,39,40,41,43,46,47,53,57,58,63,66,77
kl8,2024134,3,5,7,8,9,15,19,29,35,46,50,55,57,58,59,63,68,69,73,78
kl8,2024135,7,10,17,18,27,31,42,46,52,54,56,58,59,60,62,63,70,72,74,79
kl8,2024136,1,2,11,16,17,20,24,29,33,36,54,58,63,65,74,75,76,77,78,79
kl8,2024137,2,9,11,20,24,27,29,34,38,40,47,52,53,64,68,73,75,76,78,79
kl8,2024138,3,9,16,17,31,32,34,35,38,40,41,43,44,56,60,63,74,77,79,80
kl8,2024139,2,7,9,17,20,21,31,33,34,36,39,41,42,45,54,66,67,68,71,74
kl8,2024140,1,2,5,9,12,18,19,25,27,29,30,32,34,44,49,51,56,74,76,78
kl8,2024141,2,3,9,16,17,19,24,27,28,35,41,44,46,48,52,53,56,63,66,69
kl8,2024142,4,17,21,23,27,41,44,46,52,57,58,59,61,65,67,71,73,78,79,80
kl8,2024143,3,7,18,19,20,26,27,33,36,44,46,51,56,62,66,68,69,74,79,80
kl8,2024144,1,4,5,7,8,9,10,11,13,18,24,27,43,48,62,66,71,75,76,78
kl8,2024145,1,3,5,20,30,32,34,35,41,43,45,49,52,58,59,62,66,68,75,79
kl8,2024146,1,9,11,12,13,16,21,24,26,29,30,32,34,35,38,39,44,49,68,75
kl8,2024147,12,13,19,22,26,29,33,41,43,44,45,49,50,51,53,62,64,66,67,68
kl8,2024148,1,2,3,5,6,9,17,19,20,28,39,43,44,45,48,50,52,59,66,67
kl8,2024149,4,6,7,9,13,15,18,19,25,26,30,43,46,48,53,56,60,63,76,79
kl8,2024150,2,6,11,16,17,22,25,29,30,34,35,45,46,57,58,64,71,75,79,80
kl8,2024151,9,13,20,25,26,27,28,35,49,53,55,56,63,66,67,68,71,74,79,80
kl8,2024152,8,10,11,16,18,19,21,23,30,40,46,50,54,57,58,60,62,66,68,80
kl8,2024153,4,9,15,20,21,25,30,32,38,39,41,43,44,49,52,53,57,72,77,80
kl8,2024154,9,15,19,22,23,25,33,41,43,44,46,48,50,57,65,68,69,72,75,78
kl8,2024155,2,11,12,19,25,28,35,37,39,42,44,45,47,56,58,59,69,74,76,78
kl8,2024156,1,8,10,12,21,27,28,29,31,34,35,42,46,47,52,54,56,59,63,70
kl8,2024157,4,6,17,21,24,29,34,40,46,47,49,50,52,55,57,59,61,74,78,79
kl8,2024158,7,8,11,17,19,21,25,31,32,36,38,41,47,54,57,59,62,64,68,71
kl8,2024159,2,7,16,19,22,25,27,28,29,30,36,37,46,56,64,65,67,68,69,75
kl8,2024160,2,5,6,10,25,34,35,36,40,52,56,57,58,60,61,73,74,76,78,79
kl8,2024161,1,9,15,18,22,24,28,41,45,49,50,54,59,63,65,68,69,72,76,80
kl8,2024162,3,4,9,11,21,22,28,30,32,34,39,44,45,47,54,58,65,68,71,78
kl8,2024163,3,10,12,18,21,28,29,30,34,38,46,47,49,57,65,69,70,71,74,79
kl8,2024164,2,4,10,13,24,27,30,33,34,35,36,46,50,52,53,56,61,67,70,73
kl8,2024165,6,9,18,21,29,34,35,37,40,42,51,52,59,63,64,73,74,76,77,80
kl8,2024166,1,2,7,8,14,18,19,21,22,26,30,31,33,36,47,57,65,70,75,78
kl8,2024167,3,11,13,22,24,26,38,42,45,46,54,55,58,61,64,66,68,75,79,80
kl8,2024168,1,2,8,10,11,13,14,17,22,31,32,35,36,38,43,44,48,57,59,69
kl8,2024169,2,5,11,12,16,19,21,23,25,33,37,41,45,57,60,72,74,78,79,80
kl8,2024170,4,7,8,14,20,22,28,29,38,41,44,46,47,53,58,59,65,66,72,75
kl8,2024171,5,11,13,19,20,23,25,27,31,34,38,39,40,46,47,53,59,69,76,80
kl8,2024172,1,7,10,15,26,30,37,39,44,48,53,56,57,62,63,70,72,74,75,78
kl8,2024173,4,8,12,15,18,29,32,33,40,42,43,46,50,60,63,66,70,72,75,77
kl8,2024174,3,5,16,19,20,24,35,36,40,44,46,53,54,58,62,64,66,69,75,80
kl8,2024175,7,9,12,15,17,19,32,33,40,47,48,49,55,58,62,65,66,69,70,73
kl8,2024176,2,6,12,13,18,19,26,30,35,39,45,46,47,50,53,57,60,62,65,67
kl8,2024177,4,6,8,15,28,32,34,37,38,41,45,46,48,50,51,59,62,71,72,75
kl8,2024178,2,5,6,16,18,20,35,40,41,45,47,51,55,56,58,61,62,66,68,72
kl8,2024179,1,2,6,14,15,16,17,22,25,35,47,49,51,54,57,58,60,62,67,80
kl8,2024180,3,4,12,16,17,23,28,30,31,34,37,46,48,50,51,56,58,59,65,66
kl8,2024181,10,14,21,23,25,27,28,33,34,42,44,50,52,62,63,64,69,74,78,80
kl8,2024182,10,12,14,19,22,25,29,33,36,37,41,42,47,50,55,57,63,68,75,79
kl8,2024183,1,7,10,14,16,21,30,35,37,38,41,45,47,49,52,57,58,64,67,69
kl8,2024184,3,5,6,8,11,12,13,18,21,25,26,33,37,43,51,61,62,70,73,76
kl8,2024185,2,7,11,12,20,21,23,26,35,36,37,46,51,52,54,57,59,67,71,72
kl8,2024186,15,19,20,25,26,32,35,38,39,42,44,45,49,53,63,65,67,75,77,78
kl8,2024187,2,4,9,10,13,14,19,25,31,35,45,64,65,68,69,73,76,77,78,80
kl8,2024188,2,4,10,12,15,21,22,23,24,32,41,51,52,63,66,70,71,73,75,79
kl8,2024189,1,2,10,15,17,20,27,32,36,41,43,44,48,53,54,57,65,72,79,80
kl8,2024190,1,6,17,20,27,29,31,32,37,38,41,44,48,50,55,59,63,64,73,80
kl8,2024191,2,3,7,10,11,13,23,26,28,36,41,46,55,57,62,66,68,69,70,73
kl8,2024192,4,6,7,14,18,20,27,33,34,38,42,43,44,50,52,56,65,66,70,77
kl8,2024193,2,4,5,8,20,27,30,32,33,35,38,39,41,48,53,60,64,65,67,78
kl8,2024194,11,14,17,21,23,27,31,32,34,36,37,40,43,56,61,62,70,71,73,80
kl8,2024195,5,9,12,16,24,28,29,30,32,41,42,43,51,59,62,64,66,68,76,80
kl8,2024196,11,20,26,28,31,32,33,35,36,37,39,40,42,47,49,55,61,64,69,70
kl8,2024197,1,2,4,12,15,21,23,30,33,51,53,54,55,57,59,60,61,68,73,77
kl8,2024198,5,6,9,13,21,22,26,29,30,31,32,34,35,36,41,45,52,57,61,67
kl8,2024199,9,16,17,24,27,32,34,37,40,43,44,47,51,61,68,69,71,75,78,80
kl8,2024200,7,8,9,13,15,16,17,18,19,25,32,33,38,39,44,52,60,62,70,72
kl8,2024201,3,5,7,8,10,11,13,16,19,25,29,41,44,47,51,54,65,69,73,80
kl8,2024202,2,4,7,14,16,17,18,21,28,32,52,54,61,64,65,68,69,70,71,74
kl8,2024203,1,5,8,15,19,26,27,28,33,38,40,42,49,52,58,60,63,74,76,80
kl8,2024204,2,3,4,8,9,10,12,19,21,30,31,33,41,46,51,64,67,70,74,79
kl8,2024205,1,5,8,13,16,29,32,35,41,48,51,53,56,64,65,67,70,71,74,77
kl8,2024206,2,3,4,8,9,15,17,24,29,32,33,34,37,48,51,56,57,60,68,75
kl8,2024207,4,10,12,16,18,19,22,23,30,35,38,40,41,47,52,61,70,75,77,80
kl8,2024208,4,5,12,14,21,23,27,40,45,46,49,51,54,56,58,62,64,69,70,77
kl8,2024209,2,3,4,9,11,20,22,26,30,33,36,39,41,55,58,66,67,69,73,78
kl8,2024210,4,5,7,12,17,18,20,22,33,35,41,49,57,60,67,68,73,75,76,77
kl8,2024211,1,4,5,9,16,23,25,26,33,47,48,54,56,61,66,67,71,76,79,80
kl8,2024212,5,6,9,10,11,12,19,21,23,24,33,34,37,41,49,52,67,71,72,79
kl8,2024213,3,5,6,7,13,15,21,30,32,37,41,48,50,51,56,59,63,67,70,79
kl8,2024214,1,5,6,8,9,10,11,13,16,21,30,33,37,48,51,52,56,68,72,74
kl8,2024215,1,3,7,8,10,13,27,41,46,54,57,60,63,66,68,70,72,75,78,79
kl8,2024216,1,3,11,12,21,29,30,31,32,33,39,42,54,56,57,59,61,63,72,77
kl8,2024217,1,3,4,15,21,26,32,36,45,47,49,52,53,56,62,65,67,74,75,80
kl8,2024218,1,9,17,18,20,24,34,35,38,39,46,50,51,54,55,58,61,66,73,79
kl8,2024219,1,3,4,11,17,21,22,31,37,42,45,46,51,56,57,66,67,69,74,75
kl8,2024220,10,13,17,18,23,32,34,39,42,45,57,58,59,63,66,69,72,74,75,77
kl8,2024221,1,4,8,9,18,27,29,33,35,36,48,50,52,58,59,64,66,67,75,80
kl8,2024222,5,8,10,12,14,22,29,32,34,35,46,47,52,53,55,56,65,66,73,74
kl8,2024223,8,10,11,12,13,18,30,35,37,40,42,52,56,57,59,62,63,65,66,71
kl8,2024224,4,6,10,12,14,20,22,29,34,35,45,46,48,49,52,53,54,74,79,80
kl8,2024225,8,9,13,22,24,27,28,32,34,40,44,53,59,60,63,64,69,72,73,76
kl8,2024226,6,9,26,28,32,34,36,47,48,51,54,56,62,63,66,68,69,70,72,77
kl8,2024227,4,5,11,18,20,35,36,38,40,45,46,50,51,54,56,59,61,67,70,72
kl8,2024228,1,2,9,12,15,20,26,40,44,46,48,52,58,60,61,63,64,65,70,76
kl8,2024229,5,6,7,9,17,21,24,25,26,28,31,32,42,47,49,53,58,59,63,74
kl8,2024230,4,5,6,7,11,12,20,21,23,30,32,50,53,61,63,66,67,69,75,80
kl8,2024231,8,10,14,15,20,26,36,37,44,45,46,50,51,64,67,74,75,77,78,80
kl8,2024232,2,5,6,8,9,11,15,16,19,24,30,34,38,61,62,63,68,71,73,74
kl8,2024233,1,2,6,10,14,30,41,44,45,46,51,53,56,58,61,62,65,68,70,79
kl8,2024234,7,13,14,27,32,33,36,37,48,52,53,54,62,65,68,72,73,74,76,77
kl8,2024235,1,9,10,14,16,20,27,28,30,32,33,34,36,39,46,52,59,60,76,77
kl8,2024236,4,5,11,12,21,28,35,36,38,39,40,46,50,61,64,68,71,73,74,77
kl8,2024237,1,2,5,7,16,17,19,20,26,32,38,41,49,58,64,65,66,69,71,79
kl8,2024238,9,23,24,27,31,33,36,37,38,39,41,44,45,48,52,55,58,65,67,71
kl8,2024239,11,16,19,24,26,27,28,31,46,47,52,54,55,60,61,62,63,76,77,78
kl8,2024240,6,8,10,15,23,27,32,35,37,40,41,43,47,54,58,59,63,66,74,75
kl8,2024241,6,11,12,14,27,28,33,41,57,58,63,66,69,70,72,74,75,76,78,80
kl8,2024242,2,19,20,26,30,34,38,40,41,46,48,51,53,54,56,62,65,68,73,80
kl8,2024243,5,7,9,10,11,12,14,15,17,27,37,41,42,43,46,61,64,70,73,80
kl8,2024244,6,15,19,21,22,24,25,29,35,42,45,47,56,63,64,67,74,75,76,79
kl8,2024245,2,4,6,7,17,21,23,28,29,32,35,36,42,45,55,62,66,68,72,77
kl8,2024246,6,9,12,13,18,19,24,26,35,36,38,39,41,42,55,57,61,71,72,76
kl8,2024247,22,24,26,28,31,35,37,41,42,45,48,49,50,51,54,56,57,65,66,67
kl8,2024248,7,8,10,11,12,16,26,34,35,43,45,46,49,50,51,53,61,63,64,69
kl8,2024249,3,12,19,20,22,23,26,36,43,46,51,52,55,59,69,71,72,73,76,80
kl8,2024250,5,8,17,23,24,25,27,29,33,36,37,45,52,53,57,64,66,69,72,73
kl8,2024251,4,9,12,14,18,21,22,23,24,26,29,30,41,53,58,62,69,71,72,73
kl8,2024252,3,8,10,16,17,18,19,25,28,29,33,35,41,43,59,60,63,66,73,75
kl8,2024253,13,14,17,18,19,27,29,31,37,41,43,49,53,56,59,61,65,67,68,79
kl8,2024254,2,4,6,10,22,24,26,27,29,36,37,43,48,50,55,56,58,59,64,76
kl8,2024255,9,12,13,14,16,21,22,27,29,31,32,44,49,50,52,53,62,65,72,77
kl8,2024256,5,7,15,21,27,28,38,42,48,52,63,64,68,70,72,73,74,75,77,79
kl8,2024257,5,7,9,18,20,35,36,42,46,48,51,53,55,56,60,66,68,77,79,80
kl8,2024258,2,5,6,7,9,16,30,32,40,48,56,57,58,59,60,69,70,73,74,80
kl8,2024259,6,20,26,30,32,35,38,39,54,56,57,59,60,61,62,67,71,72,75,76
kl8,2024260,2,3,4,5,7,12,32,43,44,49,50,54,56,62,63,69,71,75,76,77
kl8,2024261,1,8,9,11,12,15,22,28,31,38,39,40,44,47,59,63,64,71,74,79
kl8,2024262,6,9,15,18,19,23,26,30,34,38,46,49,55,57,60,70,71,72,77,80
kl8,2024263,7,10,19,30,32,36,46,47,48,51,53,54,57,64,66,67,69,71,73,76
kl8,2024264,2,3,4,6,8,10,13,17,19,20,26,34,36,48,51,54,57,62,70,76
kl8,2024265,1,3,26,27,32,33,38,39,40,41,44,49,50,53,66,68,71,75,77,79
kl8,2024266,2,5,6,7,9,23,25,26,34,37,45,46,50,53,54,57,65,72,73,78
kl8,2024267,2,4,7,9,17,22,23,24,26,29,33,38,43,50,55,56,71,77,78,79
kl8,2024268,9,10,14,16,19,23,25,27,33,34,37,39,42,50,51,58,67,69,72,75
kl8,2024269,6,16,22,23,25,30,32,36,41,44,45,51,55,65,66,67,71,74,75,76
kl8,2024270,1,2,5,7,20,21,23,27,39,42,43,49,54,58,63,67,70,71,72,74
kl8,2024271,2,3,7,8,16,23,27,31,32,33,35,43,46,50,51,57,59,66,69,71
kl8,2024272,3,4,8,11,14,22,30,31,33,48,49,51,57,58,63,64,67,69,74,76
kl8,2024273,3,5,8,10,11,13,14,26,27,30,32,34,46,48,49,51,68,72,75,79
kl8,2024274,3,12,16,21,23,25,32,39,40,41,52,54,65,67,68,73,74,75,76,77
kl8,2024275,7,13,19,20,23,26,39,40,41,55,57,61,62,63,65,66,71,73,76,79
kl8,2024276,2,3,6,13,14,19,21,22,32,49,52,53,60,68,69,70,71,73,74,75
kl8,2024277,4,7,9,11,12,16,19,20,25,27,28,37,42,52,60,64,66,69,71,78
kl8,2024278,9,13,14,18,22,28,33,35,41,45,48,49,51,53,58,68,71,73,74,80
kl8,2024279,3,5,9,13,20,23,28,31,32,36,42,43,44,49,63,66,68,69,75,76
kl8,2024280,7,16,22,27,28,34,37,38,39,40,45,46,51,57,63,64,65,73,77,80
kl8,2024281,11,12,16,19,22,26,27,36,40,42,45,46,48,49,55,65,69,72,74,76
kl8,2024282,3,7,8,12,13,34,40,43,47,50,54,55,58,61,63,64,66,72,74,78
kl8,2024283,3,9,11,14,15,18,20,21,25,26,28,40,43,50,54,66,72,76,77,78
kl8,2024284,5,7,14,18,19,23,26,27,36,37,44,46,50,53,55,58,64,66,73,78
kl8,2024285,2,12,16,17,23,25,26,27,34,45,51,54,56,58,60,64,67,70,72,77
kl8,2024286,5,9,11,13,14,18,24,28,29,36,38,41,42,49,51,57,66,71,75,78
kl8,2024287,1,5,12,13,15,17,18,28,29,34,39,44,55,60,62,64,66,67,70,77
kl8,2024288,6,9,11,16,18,22,39,46,47,52,55,60,61,66,67,70,71,74,77,78
kl8,2024289,3,12,13,16,21,38,44,46,50,51,54,62,63,68,69,70,74,76,77,78
kl8,2024290,5,9,10,15,23,27,29,31,38,39,41,47,54,66,70,71,72,75,76,78
kl8,2024291,2,12,15,26,27,28,30,31,32,36,47,48,52,54,59,62,63,68,71,76
kl8,2024292,1,7,11,12,23,27,31,37,39,43,45,50,53,54,55,57,65,67,71,75
kl8,2024293,1,2,3,8,9,11,12,16,18,24,31,36,39,44,56,58,67,70,74,80
kl8,2024294,1,2,5,16,19,21,25,31,34,37,42,43,51,53,54,58,59,64,73,80
kl8,2024295,2,10,12,13,14,23,24,29,31,32,35,37,43,44,45,46,61,64,74,75
kl8,2024296,3,5,7,11,12,20,21,29,32,33,35,43,45,51,56,58,74,77,79,80
kl8,2024297,9,10,14,27,28,31,36,39,46,47,60,61,63,64,69,70,71,75,78,80
kl8,2024298,1,2,7,8,15,32,34,37,38,40,42,49,51,54,59,61,67,69,72,73
kl8,2024299,5,6,12,14,22,23,25,26,36,39,48,54,58,61,63,64,69,75,76,79
kl8,2024300,1,3,5,7,24,33,36,39,40,43,51,54,55,56,59,65,70,74,76,80
kl8,2024301,5,7,9,10,15,17,22,23,24,29,30,43,49,51,57,58,63,64,67,73
kl8,2024302,4,15,21,30,31,37,38,39,41,43,49,56,58,60,61,64,65,67,70,76
kl8,2024303,6,7,11,18,21,24,25,28,32,36,40,42,43,46,59,67,71,72,73,79
kl8,2024304,1,2,9,11,13,18,24,29,31,37,38,39,41,46,61,62,63,67,69,72
kl8,2024305,4,8,16,17,27,34,35,36,38,39,40,46,48,52,54,58,64,71,74,75
kl8,2024306,3,7,8,11,12,17,20,33,34,40,41,42,52,56,60,66,68,75,77,79
kl8,2024307,7,13,14,20,27,30,31,36,37,39,41,42,43,44,46,56,61,66,73,77
kl8,2024308,6,8,9,12,25,30,32,34,35,39,41,43,45,48,52,55,63,70,74,80
kl8,2024309,6,7,15,17,20,22,24,26,33,37,50,51,59,64,68,71,72,74,75,80
kl8,2024310,2,6,8,9,16,18,21,22,23,25,33,34,37,45,46,50,52,56,60,76
kl8,2024311,1,3,4,5,13,14,25,28,33,36,50,54,59,61,64,66,69,72,73,76
kl8,2024312,5,6,7,8,12,17,20,22,23,25,27,34,35,41,47,49,53,61,66,71
kl8,2024313,4,8,11,13,15,19,20,23,25,26,28,33,40,41,42,48,53,64,73,78
kl8,2024314,3,5,14,22,23,24,25,28,33,34,44,45,53,55,61,68,69,75,76,79
kl8,2024315,5,6,7,8,9,17,21,29,30,38,39,43,57,61,66,69,72,76,77,80
kl8,2024316,6,8,12,22,29,32,42,47,49,50,54,56,58,59,64,67,68,70,71,80
kl8,2024317,4,9,11,14,18,23,24,26,29,35,36,39,40,49,53,61,62,68,70,74
kl8,2024318,2,3,11,12,15,19,21,26,32,39,41,46,54,58,59,62,67,75,76,78
kl8,2024319,2,5,8,9,11,18,22,26,27,28,33,44,53,55,56,58,61,72,77,80
kl8,2024320,2,5,9,13,17,19,20,22,29,38,44,48,51,60,62,65,73,74,76,79
kl8,2024321,2,3,6,8,11,12,13,15,20,22,26,41,46,47,48,56,58,68,73,74
kl8,2024322,2,3,4,13,15,21,24,37,38,40,42,46,47,57,60,63,70,73,74,75
kl8,2024323,8,18,24,30,32,33,34,35,37,38,42,51,52,54,55,66,69,72,73,74
kl8,2024324,2,6,8,16,20,22,26,28,31,33,39,42,45,53,57,62,65,69,77,80
kl8,2024325,2,3,6,13,16,23,26,36,42,44,46,52,53,54,60,61,64,69,73,79
kl8,2024326,4,6,8,11,15,17,39,46,48,50,52,54,56,58,63,66,71,73,74,80
kl8,2024327,5,6,11,15,16,18,20,29,32,34,36,46,52,55,57,59,65,69,72,79
kl8,2024328,2,6,8,15,16,18,19,23,30,39,40,43,47,50,58,69,71,72,76,80
kl8,2024329,7,9,15,16,17,20,22,25,37,39,48,58,59,67,69,70,72,74,79,80
kl8,2024330,2,3,6,12,17,23,26,29,30,46,48,49,60,61,62,67,70,71,73,74
kl8,2024331,3,4,8,14,21,22,23,35,39,43,46,49,55,58,60,69,72,78,79,80
kl8,2024332,1,8,10,13,21,30,35,38,41,46,47,49,51,61,63,64,65,66,69,80
kl8,2024333,3,5,10,12,17,18,23,27,30,33,48,49,54,56,60,65,67,71,72,77
kl8,2024334,2,10,12,14,20,23,24,44,52,53,57,58,59,60,68,69,70,72,73,78
kl8,2024335,11,13,14,22,23,24,26,32,34,44,50,53,56,58,61,63,67,71,77,79
kl8,2024336,8,12,15,16,17,19,21,27,32,41,44,45,49,54,58,59,61,66,71,74
kl8,2024337,14,15,17,22,26,32,37,42,49,50,59,68,70,71,73,74,75,76,77,79
kl8,2024338,1,2,4,5,7,8,9,12,14,15,19,20,25,31,41,52,56,69,71,77
kl8,2024339,1,2,5,7,10,12,13,16,25,32,35,38,42,50,61,64,67,72,76,80
kl8,2024340,2,3,7,11,18,22,25,27,38,40,46,48,51,59,60,63,64,69,76,79
kl8,2024341,1,2,9,10,15,28,29,31,32,42,44,50,56,58,61,62,71,75,77,78
